ID,Seek_Help,Anonymity,Leave,Mental_Health_Consequence,Phys_Health_Consequence,Coworkers,Supervisor,Willingness_Mental_Health,Phys_Health_Interview,Mental_vs_Physical,Obs_Consequence,Age_Tier
587,No,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Young
588,No,Don't know,Somewhat easy,Maybe,No,Yes,Yes,No,Maybe,Don't know,No,Young
589,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
590,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,Yes,Matured_Young
591,No,No,Somewhat difficult,Yes,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
592,No,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,Young
593,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,No,No,Matured_Young
594,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
595,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Yes,No,Young
596,No,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,No,No,Yes,Young
597,Don't know,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
598,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
599,Don't know,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,No,No,Yes,Young
600,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
601,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,Matured_Young
602,No,Yes,Somewhat difficult,Yes,Yes,No,No,No,No,No,No,Matured_Young
603,Yes,Yes,Somewhat difficult,No,No,Yes,Yes,No,No,Yes,No,Young
604,Don't know,Yes,Don't know,Maybe,Maybe,No,No,No,Maybe,No,No,Young
605,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,No,No,Matured_Young
606,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Middle_Aged
607,No,Don't know,Don't know,Maybe,Yes,Some of them,No,No,Maybe,No,No,Young
608,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Yes,No,Young
609,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,Don't know,No,Young
610,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
611,No,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
612,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,No,No,Matured_Young
613,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Yes,No,Yes,Young
614,No,Don't know,Very easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,Young
615,Yes,Don't know,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Yes,No,Young
616,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Matured_Young
617,No,Yes,Very difficult,Yes,No,Some of them,No,No,Maybe,No,No,Matured_Young
618,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
619,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Young
620,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
621,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Maybe,Yes,No,Yes,Young
622,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Young
623,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No,No,Don't know,No,Young
624,No,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,Young
625,Yes,Don't know,Somewhat difficult,Maybe,No,No,Some of them,No,No,No,No,Young
626,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No,Matured_Young
627,No,Yes,Somewhat easy,No,No,Some of them,Some of them,No,No,No,No,Matured_Young
628,No,Yes,Very difficult,Yes,Maybe,Some of them,No,No,Maybe,No,Yes,Matured_Young
629,Don't know,Don't know,Don't know,Yes,No,Some of them,Some of them,No,No,Don't know,Yes,Young
630,No,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Young
631,No,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,Middle_Aged
632,No,No,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
633,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,No,Yes,No,Matured_Young
634,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
635,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,Yes,Yes,Don't know,No,Young
636,No,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,Yes,Matured_Young
637,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
638,No,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
639,No,Don't know,Somewhat difficult,Yes,Yes,No,No,No,No,No,Yes,Middle_Aged
640,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
641,No,Don't know,Very easy,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
642,Yes,No,Somewhat difficult,Yes,No,Some of them,Some of them,No,No,No,Yes,Young
643,Yes,Yes,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,Don't know,Yes,Middle_Aged
644,No,No,Don't know,Maybe,No,Some of them,No,No,No,Don't know,Yes,Young
645,No,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Matured_Young
646,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Young
647,No,Don't know,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,Young
648,Yes,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Don't know,No,Young
649,No,Don't know,Don't know,No,No,No,Some of them,No,Yes,Don't know,No,Young
650,Yes,Don't know,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
651,Don't know,Don't know,Don't know,Maybe,Maybe,No,No,No,No,No,No,Young
652,No,Don't know,Very easy,No,No,Some of them,Yes,Yes,Yes,Don't know,Yes,Middle_Aged
653,Yes,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,Yes,Matured_Young
654,Yes,Don't know,Very easy,Maybe,No,No,No,No,No,Yes,No,Matured_Young
655,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Yes,Don't know,No,Young
656,No,No,Somewhat difficult,No,Maybe,Some of them,No,No,No,Yes,No,Young
657,No,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
658,Don't know,Yes,Don't know,Maybe,No,Some of them,Yes,No,Yes,Yes,No,Young
659,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Young
660,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Young
661,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Young
662,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
663,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
664,No,Yes,Very easy,No,No,Some of them,Some of them,No,No,Don't know,No,Young
665,No,Don't know,Very difficult,Maybe,Maybe,Some of them,No,No,No,No,No,Young
666,Don't know,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Yes,Yes,Young
667,Don't know,Don't know,Don't know,No,No,No,No,No,No,Don't know,No,Young
668,No,Don't know,Don't know,Maybe,Maybe,No,No,No,No,Don't know,No,Young
669,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
670,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,Maybe,Don't know,No,Young
671,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,Don't know,No,Young
672,Yes,Don't know,Somewhat easy,No,No,Some of them,Some of them,No,No,Yes,No,Young
673,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Yes,No,Young
674,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,No,No,Matured_Young
675,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Young
676,No,Don't know,Don't know,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,Don't know,No,Young
677,No,Don't know,Don't know,Yes,No,No,No,No,No,Don't know,No,Young
678,No,Yes,Very easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Young
679,Yes,Don't know,Very easy,No,No,Yes,Yes,No,Maybe,Yes,No,Middle_Aged
680,No,Don't know,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes,Matured_Young
681,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
682,No,Don't know,Somewhat difficult,Maybe,Maybe,No,No,No,Maybe,No,No,Young
683,Don't know,Yes,Somewhat easy,No,No,No,Yes,No,Maybe,Don't know,No,Young
684,No,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,Don't know,No,Young
685,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,Young
686,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
687,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,No,Yes,No,Middle_Aged
688,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Young
689,Don't know,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
690,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
691,No,Yes,Somewhat easy,No,No,Yes,Yes,No,Maybe,Yes,No,Young
692,Don't know,Yes,Somewhat easy,No,No,Some of them,No,Maybe,Maybe,Don't know,No,Young
693,Don't know,Don't know,Somewhat easy,No,No,Some of them,Yes,No,No,Don't know,No,Young
694,No,Don't know,Don't know,Yes,No,No,No,No,Yes,No,No,Matured_Young
695,No,Yes,Very easy,No,No,No,Yes,No,No,Yes,No,Matured_Young
696,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,No,Matured_Young
697,No,Don't know,Very difficult,Yes,Maybe,No,No,No,Maybe,No,No,Matured_Young
698,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Yes,No,Young
699,Don't know,Don't know,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,Young
700,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
701,Yes,No,Very difficult,No,No,Yes,Yes,No,No,Yes,Yes,Matured_Young
702,Don't know,Yes,Don't know,Maybe,No,Yes,Yes,No,No,Don't know,No,Matured_Young
703,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
704,Yes,Don't know,Somewhat easy,Yes,No,No,No,No,No,No,No,Matured_Young
705,No,Don't know,Don't know,Maybe,No,Yes,Yes,No,Maybe,No,Yes,Matured_Young
706,No,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,No,No,Young
707,Don't know,Don't know,Very easy,No,No,Yes,Yes,Yes,Yes,Don't know,No,Matured_Young
708,Don't know,Don't know,Don't know,Yes,No,Some of them,No,No,No,Don't know,No,Matured_Young
709,No,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
710,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
711,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Yes,No,Young
712,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,Young
713,Yes,Yes,Don't know,Maybe,No,Some of them,Some of them,No,No,No,No,Young
714,Don't know,Don't know,Very difficult,Yes,Maybe,Some of them,No,No,No,No,No,Matured_Young
716,Yes,Yes,Somewhat easy,Maybe,Maybe,Some of them,Yes,Yes,Yes,Yes,No,Young
717,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
718,No,Don't know,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Young
719,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,Young
720,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
721,No,No,Very difficult,Yes,No,Some of them,No,No,Yes,No,Yes,Young
722,No,Don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,No,Maybe,Don't know,No,Young
723,Don't know,Don't know,Don't know,Yes,No,Some of them,Yes,No,No,No,No,Young
724,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,Matured_Young
725,No,No,Don't know,No,No,Some of them,Some of them,No,Maybe,No,No,Young
726,No,Don't know,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,No,Young
727,No,No,Very difficult,Yes,Yes,No,No,No,No,No,No,Young
728,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,No,No,Young
729,No,Yes,Very difficult,Yes,No,Yes,No,No,Maybe,No,Yes,Matured_Young
730,No,Don't know,Don't know,Yes,No,Yes,Yes,Maybe,Yes,No,No,Matured_Young
731,No,Don't know,Don't know,Maybe,No,Yes,Some of them,No,No,Don't know,No,Young
732,No,Don't know,Very easy,No,No,Yes,Yes,No,No,Don't know,No,Young
733,Yes,Yes,Don't know,No,No,Yes,Yes,No,No,Don't know,No,Young
735,No,Don't know,Very easy,No,No,Yes,Some of them,No,Yes,No,No,Matured_Young
736,Yes,Yes,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
737,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Matured_Young
738,Yes,Yes,Don't know,Maybe,No,Yes,Some of them,No,Yes,Yes,No,Young
739,Don't know,Don't know,Don't know,Yes,Maybe,No,No,No,Maybe,Don't know,No,Matured_Young
740,No,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,Yes,Matured_Young
741,No,Don't know,Very difficult,Yes,Maybe,No,No,No,No,No,No,Matured_Young
742,No,Don't know,Very easy,No,No,No,Some of them,No,Yes,Yes,No,Matured_Young
743,Don't know,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,Maybe,Yes,Don't know,No,Young
744,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
745,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,Yes,Don't know,No,Young
746,Don't know,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
747,No,No,Somewhat difficult,Maybe,No,Some of them,No,Maybe,Maybe,No,No,Matured_Young
748,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
749,No,Don't know,Somewhat difficult,No,No,Some of them,Yes,No,Yes,Don't know,No,Young
750,No,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
751,Yes,Yes,Very easy,No,No,Some of them,No,No,Maybe,Yes,No,Matured_Young
752,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
753,No,Yes,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
754,Yes,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
755,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Young
756,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,Matured_Young
757,Don't know,Don't know,Somewhat difficult,Yes,Maybe,No,No,No,Maybe,No,No,Young
758,No,Yes,Somewhat easy,Maybe,Maybe,No,Some of them,Maybe,Maybe,Yes,No,Matured_Young
759,No,No,Don't know,Yes,No,Some of them,Some of them,No,Yes,No,Yes,Young
760,No,Yes,Somewhat easy,No,No,No,No,No,No,Yes,No,Young
761,Yes,Don't know,Don't know,Maybe,Maybe,Yes,Some of them,No,Maybe,Yes,No,Matured_Young
762,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Matured_Young
763,No,No,Very difficult,Yes,Yes,No,No,No,No,No,No,Matured_Young
764,Don't know,Don't know,Somewhat easy,Yes,No,Some of them,No,No,Maybe,No,No,Young
765,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Matured_Young
766,Yes,Yes,Somewhat easy,Maybe,Yes,Some of them,No,No,No,No,No,Matured_Young
767,Don't know,Don't know,Somewhat easy,No,No,Some of them,No,Yes,Yes,Don't know,No,Young
768,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,No,No,Matured_Young
769,No,Don't know,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,Young
770,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
771,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,No,No,Yes,No,Matured_Young
772,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No,Matured_Young
773,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,Yes,Yes,No,No,Young
774,No,Yes,Somewhat easy,Yes,No,Some of them,Yes,No,Maybe,No,Yes,Matured_Young
775,Yes,Yes,Very easy,Yes,No,Some of them,Yes,No,Maybe,No,Yes,Matured_Young
776,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Maybe,No,No,Matured_Young
777,Yes,Don't know,Don't know,No,No,Yes,Some of them,Yes,Yes,Yes,Yes,Matured_Young
778,Yes,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,Young
779,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
780,Don't know,Don't know,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,Matured_Young
781,No,Yes,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,Don't know,No,Matured_Young
782,Don't know,Yes,Very easy,No,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
783,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,Matured_Young
784,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Young
785,Yes,Yes,Don't know,Maybe,No,Some of them,Some of them,No,No,No,Yes,Young
786,No,Yes,Somewhat easy,No,No,No,Yes,No,Maybe,No,No,Matured_Young
787,Don't know,Yes,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
788,Don't know,Don't know,Somewhat easy,Maybe,No,Yes,Yes,No,No,Don't know,No,Matured_Young
789,Yes,Yes,Somewhat easy,No,No,Some of them,Some of them,No,Maybe,Yes,No,Matured_Young
790,No,Don't know,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,Yes,Young
791,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
792,No,Yes,Somewhat difficult,Yes,No,Some of them,Some of them,No,Yes,No,Yes,Matured_Young
793,No,Yes,Very difficult,Yes,Maybe,No,Some of them,No,Yes,No,Yes,Matured_Young
794,Don't know,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes,Young
795,No,Don't know,Somewhat easy,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,Matured_Young
796,Don't know,Don't know,Don't know,Yes,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
797,No,Don't know,Don't know,Maybe,No,Some of them,Yes,Maybe,Yes,No,Yes,Young
798,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Yes,No,No,Young
799,Don't know,Don't know,Very easy,Maybe,No,Some of them,No,No,Maybe,Yes,No,Matured_Young
800,No,Yes,Very easy,Yes,Maybe,Yes,Yes,No,Maybe,Don't know,No,Young
801,No,Don't know,Very easy,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
802,No,Don't know,Don't know,Yes,Maybe,No,No,No,No,Don't know,No,Matured_Young
803,Yes,Yes,Very easy,No,No,Some of them,No,No,No,Yes,No,Young
804,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,Matured_Young
805,No,Don't know,Somewhat difficult,Yes,Maybe,Some of them,Some of them,No,No,No,Yes,Young
806,Yes,Yes,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,Yes,Matured_Young
807,Don't know,Don't know,Don't know,No,No,No,Some of them,No,Maybe,Yes,No,Matured_Young
808,Don't know,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
809,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Matured_Young
810,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
811,No,Don't know,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,No,No,Young
812,No,Yes,Very difficult,Yes,No,Some of them,Some of them,No,Yes,No,Yes,Matured_Young
813,No,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Young
814,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
815,Don't know,Don't know,Don't know,Yes,No,No,No,No,Yes,Don't know,No,Matured_Young
816,Yes,Yes,Very difficult,Maybe,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
817,No,No,Very easy,Yes,Yes,Some of them,No,No,No,Yes,No,Matured_Young
818,Yes,Yes,Very easy,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No,Young
819,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Matured_Young
820,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
821,No,Don't know,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,Matured_Young
822,No,No,Very difficult,Yes,Yes,No,No,No,No,Don't know,No,Matured_Young
823,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Yes,No,Matured_Young
824,Yes,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
825,No,No,Very difficult,Yes,Yes,No,Some of them,No,No,No,Yes,Middle_Aged
826,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Yes,No,Young
827,No,Don't know,Somewhat easy,Yes,Maybe,Some of them,No,No,No,Don't know,No,Matured_Young
828,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,Young
829,No,Yes,Don't know,No,No,Some of them,Yes,No,No,Yes,No,Matured_Young
830,Yes,Yes,Very easy,Maybe,No,Some of them,No,No,No,Yes,No,Young
831,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
832,No,Yes,Very easy,No,No,Some of them,Yes,No,No,Yes,No,Young
833,No,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,Young
834,No,Don't know,Don't know,Yes,No,No,No,No,Yes,Don't know,No,Matured_Young
835,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Yes,No,Maybe,No,Yes,Matured_Young
836,No,Yes,Very easy,No,No,Some of them,Yes,No,Yes,No,Yes,Young
837,Don't know,Don't know,Very difficult,Yes,Yes,No,No,No,No,No,No,Middle_Aged
838,No,Don't know,Very easy,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
839,Yes,Yes,Somewhat difficult,No,No,Some of them,Yes,No,No,No,No,Matured_Young
840,Don't know,Don't know,Very difficult,Maybe,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
841,No,Don't know,Somewhat difficult,No,No,Yes,Yes,No,Maybe,Don't know,Yes,Matured_Young
842,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,Young
843,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
844,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,No,Don't know,No,Matured_Young
845,Don't know,Don't know,Don't know,Yes,Yes,Some of them,No,No,No,No,No,Matured_Young
846,Don't know,Yes,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,Matured_Young
847,No,Don't know,Very easy,No,No,Yes,No,No,No,Yes,No,Matured_Young
848,No,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Matured_Young
849,Yes,Yes,Don't know,No,No,Some of them,Some of them,No,Maybe,Don't know,No,Matured_Young
850,No,Don't know,Somewhat easy,Maybe,No,No,No,No,Maybe,Don't know,No,Matured_Young
851,Don't know,Yes,Don't know,Maybe,No,No,Some of them,No,No,Don't know,No,Young
852,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No,Young
853,No,Don't know,Very difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,Don't know,No,Young
854,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Don't know,No,Young
855,Yes,Yes,Very easy,No,No,Some of them,Yes,Maybe,Yes,Yes,No,Young
856,Yes,Yes,Very easy,No,No,Yes,Yes,No,No,Yes,No,Middle_Aged
857,No,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Don't know,No,Young
858,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,Matured_Young
859,No,No,Don't know,Yes,Maybe,Some of them,No,No,No,No,No,Matured_Young
860,No,No,Don't know,Yes,Maybe,Some of them,No,No,No,No,No,Matured_Young
861,Don't know,Don't know,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,Young
862,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,Young
863,No,Don't know,Very difficult,Yes,No,Some of them,Yes,No,Maybe,No,No,Matured_Young
864,Yes,Yes,Somewhat easy,Yes,Maybe,No,No,No,Maybe,Yes,No,Middle_Aged
865,No,No,Somewhat difficult,Yes,Maybe,No,No,No,Yes,No,Yes,Matured_Young
866,No,Don't know,Somewhat easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No,Matured_Young
867,No,Don't know,Very difficult,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,No,No,Matured_Young
868,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,No,No,Matured_Young
869,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,Matured_Young
870,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Yes,Yes,No,Middle_Aged
871,No,Don't know,Somewhat difficult,Maybe,No,Some of them,Some of them,No,Yes,Don't know,Yes,Matured_Young
872,Yes,Yes,Don't know,Maybe,Maybe,Some of them,Some of them,No,Yes,No,Yes,Matured_Young
873,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,Matured_Young
874,No,Yes,Very easy,Maybe,No,No,No,No,No,No,No,Matured_Young
875,Don't know,Don't know,Very difficult,Yes,No,No,No,No,Maybe,Don't know,No,Young
876,No,Yes,Somewhat easy,Maybe,No,Some of them,Some of them,No,Maybe,No,No,Young
877,Don't know,Don't know,Don't know,Maybe,No,No,Some of them,No,Maybe,Don't know,No,Young
878,Yes,Don't know,Somewhat easy,Yes,Maybe,No,No,No,Maybe,Don't know,No,Young
879,Don't know,Yes,Very easy,Maybe,No,No,No,No,No,Don't know,No,Young
880,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,No,Yes,No,Young
